LIonel Messi
Diego Maradona
Angel Maria
Sergio Aguero
Carlos Tevez
Gonzalo Higuain
Javier Mascherano
Paulo Dybala
Emiliano Martinez
Julian Alvarez
Lautaro Martinez
Cristian Romero
Rodrigo Paul
Leandro Paredes
Nicolas Otamendi
Marcos Acuna
Lucas Ocampos
Exequiel Palacios
Giovani Celso
Nahuel Molina
Neymar Junior
Ronaldo Nazario
Ronaldinho Gaucho
Kaka Silva
Rivaldo Ferreira
Romario Souza
Roberto Firmino
Gabriel Jesus
Vinicius Junior
Rodrygo Goes
Casemiro Silva
Lucas Paqueta
Bruno Guimaraes
Fabinho Tavares
Marquinhos Silva
Thiago Silva
Dani Alves
Marcelo Vieira
Alex Sandro
Everton Ribeiro
Pedro Guilherme
Luis Suarez
Edinson Cavani
Diego Forlan
Federico Valverde
Darwin Nunez
Ronald Araujo
Jose Gimenez
Lucas Torreira
Nicolas Cruz
Matias Vecino
Sebastian Coates
James Rodriguez
Radamel Falcao
Juan Cuadrado
Luis Diaz
Yerry Mina
David Ospina
Jefferson Lerma
Wilmar Barrios
Carlos Bacca
Duvan Zapata
Teofilo Gutierrez
Mateus Uribe
Alexis Sanchez
Arturo Vidal
Claudio Bravo
Gary Medel
Charles Aranguiz
Eduardo Vargas
Mauricio Isla
Jean Beausejour
Marcelo Diaz
Erick Pulgar
Ben Brereton
Ivan Zamorano
Carlos Caszely
Paolo Guerrero
Jefferson Farfan
Christian Cueva
Andre Carrillo
Pedro Gallese
Carlos Zambrano
Renato Tapia
Luis Advincula
Yoshimar Yotun
Miguel Trauco
Hernan Barcos
Jose Carvallo
Enner Valencia
Antonio Valencia
Pervis Estupinan
Moises Caicedo
Gonzalo Plata
Angelo Preciado
Carlos Gruezo
Felix Torres
Jeremy Sarmiento
Michael Estrada
Alexander Dominguez
Romario Ibarra
Agustin Delgado
Ivan Hurtado
Roque Cruz
Miguel Almiron
Derlis Gonzalez
Oscar Cardozo
Antonio Bareiro
Gustavo Gomez
Richard Sanchez
Julio Enciso
Angel Romero
Gabriel Avalos
Carlos Gamarra
Salvador Cabanas
Rene Higuita
Carlos Valderrama
Radamel Garcia
Juan Quintero
James Rodriguez
Victor Cantillo
Jhon Arias
Santos Borre
Luis Muriel
Alfredo Morelos
Mateo Casierra
Jorge Carrascal
Freddy Rincon
Carlos Sanchez
Jose Pekerman
Carlos Vela
Hugo Sanchez
Rafael Marquez
Jared Borgetti
Cuauhtemoc Blanco
Hirving Lozano
Raul Jimenez
Andres Guardado
Edson Alvarez
Jesus Corona
Guillermo Ochoa
Johan Vasquez
Orbelin Pineda
Santiago Gimenez
Salomon Rondon
Jose Rondon
Yeferson Soteldo
Tomas Rincon
Juan Arango
Jose Martinez
Wuilker Farinez
Adalberto Peneranda
Luis Seijas
Fernando Aristeguieta
Carlos Maldonado
Pedro Troglio
Marcelo Moreno
Juan Arce
Ronald Raldes
Erwin Sanchez
Marco Etcheverry
Pablo Escobar
Jose Rojas
Carlos Lampe
Gilbert Alvarez
Leonel Justiniano
Diego Bejarano
Ruddy Rodriguez
Victor Abrego
Mario Kempes
Daniel Passarella
Osvaldo Ardiles
Jorge Burruchaga
Hector Enrique
Ricardo Bochini
Claudio Caniggia
Gabriel Batistuta
Hernan Crespo
Walter Samuel
Carlos Bianchi
Juan Riquelme
Esteban Cambiasso
Pablo Aimar
Maxi Rodriguez
Fernando Redondo
Angel Labruna
Amadeo Carrizo
Ubaldo Fillol
Pedro Rocha
Alberto Spencer
Victor Espana
Edison Gomez
Jose Nasazzi
Obdulio Varela
Alvaro Recoba
Enzo Francescoli
Sebastian Abreu
Walter Gargano
Christian Stuani
Martin Caceres
Lucas Leiva
Anderson Talisca
Douglas Costa
Alex Teixeira
Oscar Santos
Willian Borges
Paulinho Bezerra
Hulk Paraiba
Joao Pedro
Lucas Moura
Raphinha Dias
Matheus Cunha
Antony Matheus
Richarlison Andrade
Bruno Fernandes
